1,179800,12000,22500
1,14500,2100,2700
1,22800,3100,3200
100,409000,56800,80300
100,120500,41200,80600
100,70600,23700,49700
200,2433200,185200,186100
200,192300,47400,93100
200,290100,89800,165200
300,1423500,108600,159200
300,165500,73500,311100
300,90000,68500,128800
400,1073300,119300,193900
400,135600,94000,190500
400,88900,66700,102200
500,1960600,208500,333300
500,193400,276600,207900
500,79800,80500,99600
600,2247200,169400,290300
600,293700,192400,283600
600,144800,130700,152500
700,2501800,328800,503800
700,209200,179100,305400
700,133900,108900,167700
800,3180100,263200,431700
800,246000,195400,252700
800,156700,132500,150600
900,3245200,266500,456200
900,393000,264100,451300
900,224100,157900,167500
1000,3991800,279600,587300
1000,412300,302200,447800
1000,263400,263400,229300

